"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.filler","Answer.sentence1","Answer.sentence10","Answer.sentence2","Answer.sentence3","Answer.sentence4","Answer.sentence5","Answer.sentence6","Answer.sentence7","Answer.sentence8","Answer.sentence9","Approve","Reject"
"3UQ1LLR26A29KOB3ERS0BP65KKIALT","3LI79ZAG3M4CBXRF8WKTH4KQB9LO2V","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Mon Jun 26 12:59:38 PDT 2017","9","BatchId:2849342;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 12:59:38 PDT 2017","","","37UQDCYH6YPXJBNTBUNNDRX4H8Y7VK","A21JP4EDXRKSC2","Submitted","Mon Jun 26 16:00:44 PDT 2017","Mon Jun 26 16:05:19 PDT 2017","Thu Jun 29 16:05:19 PDT 2017","","","","275","100% (4/4)","100% (4/4)","100% (4/4)","0","So, are you into Disney movies?","It was great, but definitely the first one has my heart!","I love almost all of them!","Really, me too. What's you favorite from the classics?","Well, Peter pan has always been my favorite. Disney created an amazing world with that one.","I agree, neverland world seems just too amazing!","I know, i mean, who would ever wanted to grow up if we had the chance.","And don't forget about Tinkerbell, she's the magical character in the movie.","Did you like the second part of the movie? Peter pan 2?","I think i liked that one even more than the first one.","x",""
"3UQ1LLR26A29KOB3ERS0BP65KKIALT","3LI79ZAG3M4CBXRF8WKTH4KQB9LO2V","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Mon Jun 26 12:59:38 PDT 2017","9","BatchId:2849342;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 12:59:38 PDT 2017","","","382M9COHEI9IFBD3TCRONFN2POTUE4","A3RS7UCO7CQ74R","Submitted","Mon Jun 26 16:19:32 PDT 2017","Mon Jun 26 16:27:07 PDT 2017","Thu Jun 29 16:27:07 PDT 2017","","","","455","100% (63/63)","100% (63/63)","100% (45/45)","0","Did you like the LIon King?","Simba didn't have the emotional maturity to be king for a while","It has great pictures and visuals","What do you think about Simba as a tragic hero?","He was the hero, his tragic flaw would have been running away","He might have been murdered if he had stayed","Yes, but his thinking hurt him, believing that he caused Mufassa's death","Scar was very manipulative, but Simba looked up to him","Simba still could have been murdered when he finally returned and almost was","So some of Simba's tragedy was not his fault","x",""
"3UQ1LLR26A29KOB3ERS0BP65KKIALT","3LI79ZAG3M4CBXRF8WKTH4KQB9LO2V","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Mon Jun 26 12:59:38 PDT 2017","9","BatchId:2849342;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 12:59:38 PDT 2017","","","3A1PQ49WVIBEQOD7HPPAXGFI66B1HD","A2JHQ75Q7Z0KBH","Submitted","Mon Jun 26 14:26:56 PDT 2017","Mon Jun 26 14:32:01 PDT 2017","Thu Jun 29 14:32:01 PDT 2017","","","","305","100% (1/1)","100% (1/1)","100% (1/1)","0","What's your favorite Disney movie from the last couple of years?","Yeah, it makes it seem more real because you know this sort of thing really happened and isn't just totally made up for dramatics.","I like a lot of them. Maybe, I would go with The Finest Hours.","That was a Disney movie?","Yes, it was. It wasn't animated, but it was Disney all the same.","Why did you like it?","I liked it because it showed a man who cared about rescuing these other men that were stuck out on a sinking ship in the middle of a storm.","Does it have a happy ending?","Yes it actually does. It's based on a true story also.","I do like to see movies that are based on a true story.","x",""
"3UQ1LLR26A29KOB3ERS0BP65KKIALT","3LI79ZAG3M4CBXRF8WKTH4KQB9LO2V","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Mon Jun 26 12:59:38 PDT 2017","9","BatchId:2849342;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 12:59:38 PDT 2017","","","3G5W44VEU8C2WT4I5TDAHVZG0CYGKW","A2XHHILT60PH3H","Submitted","Mon Jun 26 14:26:58 PDT 2017","Mon Jun 26 14:30:26 PDT 2017","Thu Jun 29 14:30:26 PDT 2017","","","","208","100% (11/11)","100% (11/11)","100% (11/11)","0","What's your favorite Christmas movie?","Yea their song is great! I love those two grumpy guys.","That's tough but I have to go with Mulpets Christmas Carol.","Oh good choice. Why?","We watch it every year on Christmas Eve. It's amazing anyway but that's why it's my favorite.","Michael Caine is in that right?","That's right. He plays Scrooge and he's the best Scrooge of all time.","Who do they get to play Marley and Marley.","Waldorf and Statler.","That's perfect!","x",""
"3UQ1LLR26A29KOB3ERS0BP65KKIALT","3LI79ZAG3M4CBXRF8WKTH4KQB9LO2V","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Mon Jun 26 12:59:38 PDT 2017","9","BatchId:2849342;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 12:59:38 PDT 2017","","","3JRJSWSMQIFYGH0KESVN06X2CB9E3G","A2GGLE0U1YEHW6","Submitted","Mon Jun 26 16:09:14 PDT 2017","Mon Jun 26 16:16:29 PDT 2017","Thu Jun 29 16:16:29 PDT 2017","","","","435","0% (0/0)","0% (0/0)","0% (0/0)","0","Have you seen the new Cars movie?","Don't forget the scene with the demolition derby. For sure i thought something dramatic was going to happen.","Yeah, you mean the 3rd installment","Yup, Really liked it. The introduction of new characters, the retiring of old ones.","Hmmm. Yeah i wonder if its time to retire the franchise though.","Whaaaaaat!!! No No No. There is still much more to see. Like how did McQueen start, where did he come from etc?","True, maybe what i mean is for Disney to do a reboot. I really however did like the new cars in Cars 3.","Yeah, all Tech No heart is what i say.","But you have to admit the entrance of that new guy left everybody stumped. What's his name again.","STORM! Yeah burst on the scene like nothing anyone expected futuristic car, fast and almost unstoppable.","x",""
"3UQ1LLR26A29KOB3ERS0BP65KKIALT","3LI79ZAG3M4CBXRF8WKTH4KQB9LO2V","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Mon Jun 26 12:59:38 PDT 2017","9","BatchId:2849342;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 12:59:38 PDT 2017","","","3S06PH7KSSYXE885VT6K6V0KEFQ1DE","ALL5YYZDJ4FB2","Submitted","Mon Jun 26 15:27:22 PDT 2017","Mon Jun 26 15:37:29 PDT 2017","Thu Jun 29 15:37:29 PDT 2017","","","","607","100% (15/15)","100% (15/15)","100% (15/15)","0","What are some of your all time favorite Disney movies?","He is a good person to play that part.","I have a lot I would say the Toy Story ones.","I like those who is your favorite character?","I like buzz light year.","I like woody.","Yeah i love his voice.","His character is awesome how he acts.","Who is that actor?","I think it is Tom Hanks.","x",""
"3UQ1LLR26A29KOB3ERS0BP65KKIALT","3LI79ZAG3M4CBXRF8WKTH4KQB9LO2V","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Mon Jun 26 12:59:38 PDT 2017","9","BatchId:2849342;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 12:59:38 PDT 2017","","","3TEM0PF1Q6RX7JNNZA2KSQHA9M90DX","A32JSWNXSYZSH6","Submitted","Mon Jun 26 14:06:01 PDT 2017","Mon Jun 26 14:07:44 PDT 2017","Thu Jun 29 14:07:44 PDT 2017","","","","103","0% (0/0)","0% (0/0)","0% (0/0)","0","Have you seen the movie Wall-E?","Maybe you can do some jumping jacks the next time you watch it or something.","Yes! I love that movie. Why do you ask?","Because I think I'm getting a bit too large just like the people in that movie.","Haha. No you're not.","You don't think so?","No, I don't think anybody could be as lazy as those people in that movie.","Well I do like to sit in my chair a lot and watch Disney movies! Haha.","But that's okay because Disney movies are great.","Yeah I guess, and Wall-E is one of them.","x",""
"3UQ1LLR26A29KOB3ERS0BP65KKIALT","3LI79ZAG3M4CBXRF8WKTH4KQB9LO2V","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Mon Jun 26 12:59:38 PDT 2017","9","BatchId:2849342;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 12:59:38 PDT 2017","","","3XC1O3LBOTGHL486ATOIVERKF7MTLY","A6YF5R5J1X7P7","Submitted","Mon Jun 26 15:53:17 PDT 2017","Mon Jun 26 16:00:05 PDT 2017","Thu Jun 29 16:00:05 PDT 2017","","","","408","0% (0/0)","0% (0/0)","0% (0/0)","0","I remember when the animated Lion King came out.","It's the Circle of Life after all!!","That was a great movie.","Disney really knows how to do animation right.","Yes, they use top talent because they know having great actors is important even if they are only heard and not seen.","I'd say it's even more important if they are only heard and not seem. A great actor can covney a lot with their voice that a lesser talent cannot.","I can't imagine anyone else but Jeremy Irons in the role of scar.","And what about James Earl Jones as Mufasa? Brilliant.","And Sir Elton John's score?","Oh Lord! I love, love, love those songs!","x",""
"3Y7LTZE0YTGD4M65ZX00J5TX6WHUZ7","3LI79ZAG3M4CBXRF8WKTH4KQB9LO2V","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Mon Jun 26 12:59:38 PDT 2017","9","BatchId:2849342;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 12:59:38 PDT 2017","","","386CSBG1O0GMA3D76LOL1QY054N6QC","ALQDZZ2PJD9K7","Submitted","Mon Jun 26 14:28:28 PDT 2017","Mon Jun 26 14:31:24 PDT 2017","Thu Jun 29 14:31:24 PDT 2017","","","","176","0% (0/0)","0% (0/0)","0% (0/0)","0","What Disney movie has made you the saddest?","Even though it is a sad movie, I still love a lot of it, and it definitely has funny parts!","Probably The Lion King. I saw it when I was really little.","Me too. It was definitely sad when Mufasa died!","I felt so bad for poor, sweet Simba.","It wasn't all sad though, it was funny when he was with Timon and Pumbaa.","They were so hilarious. I love ""Hakuna Matata,"" too.","My favorite scene is when Simba sings ""I Just Can't Wait to be King.""","He is being sort of obnoxious during that song, but it is adorable!","And Zazu's bickering at him makes it even funnier.","x",""
"3Y7LTZE0YTGD4M65ZX00J5TX6WHUZ7","3LI79ZAG3M4CBXRF8WKTH4KQB9LO2V","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Mon Jun 26 12:59:38 PDT 2017","9","BatchId:2849342;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 12:59:38 PDT 2017","","","3DIP6YHAPDMKHE6QQ9QJRN5DSWKE8P","APF1EAZT104LQ","Submitted","Mon Jun 26 13:57:41 PDT 2017","Mon Jun 26 14:00:43 PDT 2017","Thu Jun 29 14:00:43 PDT 2017","","","","182","100% (290/290)","100% (283/283)","100% (241/241)","0","Is Pinocchio good?","The kids turn into donkeys.","It is one of the finest movies of Disney","Is it suspenseful?","Yes. Especially with the whale.","Is it scary?","Yes. There are some frightening parts.","Like what?","The scene at Pleasure Island is very scary","What happens?","x",""
"3Y7LTZE0YTGD4M65ZX00J5TX6WHUZ7","3LI79ZAG3M4CBXRF8WKTH4KQB9LO2V","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Mon Jun 26 12:59:38 PDT 2017","9","BatchId:2849342;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 12:59:38 PDT 2017","","","3EJPLAJKENAVOVEYTH7YSJA4A8HZ6A","A1EWBQP7R88C68","Submitted","Mon Jun 26 15:39:21 PDT 2017","Mon Jun 26 15:50:59 PDT 2017","Thu Jun 29 15:50:59 PDT 2017","","","","698","100% (1/1)","100% (1/1)","100% (1/1)","0","Have you watched the movie Follow Me Boys?","It's a really good story, and it kind of gives a history of the Boy Scouts.","Yes, I saw it when I was growing up. It has a young Kurt Russell in it, right?","Yes, and it also has Fred MacMurray and Vera Miles.","That's right, he was a traveling with a band and the bus stops in a small town. He decides to stay there.","He gets a job in the general store. He starts a Boy Scout troop for the kids in town.","Vera Miles works in the bank and after a while she realizes she likes him and they eventually fall in love.","Yes, and Kurt Russell plays the son of the town drunk.","His Dad dies and he's adopted by Fred MacMurray and Vera Miles.","It's interesting because Fred and Vera find out they can't have children so they consider the scout troop their children.","x",""
"3Y7LTZE0YTGD4M65ZX00J5TX6WHUZ7","3LI79ZAG3M4CBXRF8WKTH4KQB9LO2V","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Mon Jun 26 12:59:38 PDT 2017","9","BatchId:2849342;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 12:59:38 PDT 2017","","","3GD6L00D3TR0I2EI8M5NPLNENSZ1MB","A2BJULD0NVFD30","Submitted","Mon Jun 26 13:34:58 PDT 2017","Mon Jun 26 13:38:53 PDT 2017","Thu Jun 29 13:38:53 PDT 2017","","","","235","0% (0/0)","0% (0/0)","0% (0/0)","0","hey did you watch the new finding nemo movie?","he was surely a trooper, i wonder if the new one lived up to the hype.","no i didnt even know a new one came out","yeah it was called finding dory","oh, wow that sounds crazy awesome","Yeah i didnt get a chance to catch it but i was just glad to hear a sequel had come out","good point, didnt the first one come out a while back?","yeah it did, so most of the people who watched it were probably people in their twenties","that sounds about right, the first one was so good","yeah, i liked nemo and how much he tried despite his small fin","x",""
"3Y7LTZE0YTGD4M65ZX00J5TX6WHUZ7","3LI79ZAG3M4CBXRF8WKTH4KQB9LO2V","Create a dialog on Disney movies for ten sentences","Create a dialog on Disney movies for ten sentences","dialog, chat, movies, film, series, entertainment, arts, conversation, writing, disney, animation, live-action, creative, science fiction","$0.45","Mon Jun 26 12:59:38 PDT 2017","9","BatchId:2849342;OriginalHitTemplateId:920937340;","7200","259200","Mon Jul 03 12:59:38 PDT 2017","","","3HWRJOOET6W20YLZ47WO8E5E4R9SEN","A1HKCTDOTL6C9I","Submitted","Mon Jun 26 16:38:46 PDT 2017","Mon Jun 26 17:30:32 PDT 2017","Thu Jun 29 17:30:32 PDT 2017","","","","3106","100% (67/67)","100% (64/64)","100% (50/50)","0","Zootopia was such a good movie!","That's really high praise! I really liked Zootopia too.","One of Disney's best original animated movies!","It was a lot more serious then I thought it was going to be.","You mean the content of the story?","Yeah the story content was really adult but surrounded by cute cuddly animals.","I was really surprised by that but in a good way.","Disney presented Zootopia in a way where parents could enjoy the movie while their kids could too.","I know, I thought some of the themes were a little too much for children, but I think the overall look of the movie really appealed to them.","It definitely appealed to me as a parent and I know my kids loved Disney's Zootopia. It was our favorite Disney movie and maybe even favorite movie overall movie of 2016!","x",""
